ID,Assignee,Component,Created by,Date,EPIC,Priority,Sprint #,Status,Story Points,Tags,User Story,Week
US-AUTH-1: User Authentication,Abhishek,"API, DB",Manoj Konda,"September 22, 2025","Auth, Infra",Must,Sprint 2,Done,5,,"As a student, I want to sign up, log in, and see my profile with my roles so that I can access the marketplace with the right permissions.",Week 1
US-LIST-1: Create Listing,Karan,"API, DB",Manoj Konda,"September 22, 2025",Listings,Must,Sprint 2,Done,8,,"As a seller, I want to create a new listing with details and photos so that buyers can see what I’m selling.",Week 1
US-LIST-2: Edit Listing,Karan,"API, DB",Manoj Konda,"September 22, 2025",Listings,Must,Sprint 2,Done,3,,"As a seller, I want to edit or update or delete my listing so that I can keep details accurate.",Week 1
US-LIST-3: Mark Listing as SOLD,Karan,"API, UI",Manoj Konda,"September 22, 2025",Listings,Must,Sprint 2,Done,3,,"As a seller, I want to mark a listing as SOLD so that other buyers don’t contact me about it.",Week 1
US-SEARCH-1: Search Listings,Andrew,"API, Frontend",Manoj Konda,"September 22, 2025",Search,Must,Sprint 2,Done,8,,"As a buyer, I want to search listings with keywords and filters so that I can quickly find relevant items.",Week 1
US-SEARCH-2: View Listing Detail,Andrew,"API, Frontend",Manoj Konda,"September 22, 2025",Search,Must,Sprint 2,Done,3,,"As a buyer, I want to view a listing’s details so that I can decide whether to message the seller.",Week 1
US-CHAT-1: Start Chat on Listing,Manoj,"API, DB",Manoj Konda,"September 22, 2025",Chat,Must,Sprint 2,Done,8,,"As a buyer, I want to start a 1:1 chat with the seller from a listing page so that I can negotiate.",Week 1
US-CHAT-2: Send & View Messages,Manoj,"API, Frontend",Manoj Konda,"September 22, 2025",Chat,Must,Sprint 2,Done,5,,"As a participant, I want to send and view chat messages in a thread so that I can communicate with the other party.",Week 1
US-REPORT-1: Report a Listing,Manoj,"API, DB, Frontend, UI",Manoj Konda,"September 22, 2025",Moderation,Must,Sprint 3,Done,3,,"As a user, I want to report a listing with a reason so that admins can review suspicious content.",
US-SEED-1: Seed Data & Healthcheck,,"API, DB",Manoj Konda,"September 22, 2025",Infra,Must,,Done,5,,"As a developer, I want seed data and a health endpoint so that the app is demo-ready and monitored.",Week 1
US-PROFILE-1: View/Edit Profile,Abhishek,"API, DB, Frontend, UI",Andrew Song,"October 11, 2025",Profile,,Sprint 3,Done,3,,"As a user, I want to view and edit my profile information so that I can update my name, photo, or contact details.",
US-PROFILE-2: View my Listings,Abhishek,"API, DB, Frontend, UI",Andrew Song,"October 11, 2025","Listings, Profile",,Sprint 3,Done,3,,"As a seller, I want to see all my active and sold listings in one place so that I can manage them easily.",
US-FAV-1: Save Listings,Karan,"API, DB, Frontend, UI",Andrew Song,"October 11, 2025",Listings,,Sprint 3,Done,2,,"As a buyer, I want to save or favorite a listing so that I can revisit it later without searching again.",
US-FAV-2: View Saved Listings,Karan,"API, DB, Frontend, UI",Andrew Song,,Listings,,Sprint 4,Done,3,,"As a buyer, I want to view all my saved listings so that I can easily compare or contact sellers later.",
US-ADMIN-1: Delete Listings,Abhishek,"API, DB, UI",Andrew Song,"October 11, 2025",Moderation,,Sprint 4,Done,2,,"As an admin, I want to delete inappropriate or duplicate listings so that I can maintain the quality of the marketplace.",
US-ADMIN-2: Hide/Show Listings,Abhishek,"API, DB, UI",Andrew Song,"October 11, 2025",Moderation,,Sprint 4,Done,2,,"As an admin, I want to hide or restore a listing so that I can moderate without deleting it permanently.",
US-ADMIN-3: Warn Users,Manoj,"API, DB, UI",Andrew Song,"October 11, 2025",Moderation,,Sprint 4,Done,5,,"As an admin, I want to send a warning message to a seller when their listing violates the rules so that they can fix the issue.",
US-ADMIN-4: Edit Categories,Karan,"API, DB, UI",Andrew Song,"October 11, 2025","Listings, Moderation",,Sprint 4,Done,3,,"As an admin, I want to create or edit categories so that listings can be better organized.",
US-LIST-4: Delete Listing,Andrew,"API, DB, Frontend, UI",Andrew Song,"October 11, 2025",Listings,,Sprint 3,Done,2,,"As a seller, I want to delete my listing so that I can remove it from the marketplace.",
US-SEARCH-3: AI Chatbot,Andrew,"API, DB, Frontend, UI",Andrew Song,,"Chat, Search",,Sprint 4,Done,13,,"As a buyer, I want to interact with an AI chatbot so that I can ask questions like “Do you have a CMPE 202 textbook?” and get relevant listing suggestions without using the search bar.",
US-SETUP-1: Choose Tech Stack,Team,Infra,Manoj Konda,"September 8, 2025",Infra,Must,Sprint 1,Done,5,,"As a team, we want to decide on the project’s core tech stack so that everyone is aligned on tools, frameworks, and environments before development begins.",Week 1
US-SETUP-2: Create SCRUM & Notion Dashboards,Manoj,Mgmt,Manoj Konda,"September 8, 2025",Project Setup,Must,Sprint 1,Done,5,,"As the SCRUM master, I want to set up our Notion dashboard so that we can track sprints, user stories, and progress easily.",Week 1
US-SETUP-3: Establish GitHub Repository & Branch Workflow,Team,DevOps,Manoj Konda,"September 8, 2025",Infra,Must,Sprint 1,Done,1,,"As a team, we want a shared GitHub repository and clear branching workflow so we can collaborate without merge conflicts.",Week 1
US-SETUP-4: Project Standards & Tooling,Team,"DevOps, Infra",Manoj Konda,"September 8, 2025",Infra,Must,Sprint 1,Done,5,,"As a team, we want to define coding and execution standards so that the project remains consistent and maintainable across all contributors.",Week 1
US-SETUP-5: Research & Document Core Features,Team,Analysis,Manoj Konda,"September 8, 2025",Planning,Must,Sprint 1,Done,8,,"As a team, we want to research marketplace features and reference apps so that we can design Sprint 2 stories effectively.",Week 1
US-ADMIN-5: Manage User Accounts,Abhishek,,Abhishek Shravan Jha,,,,Sprint 4,Done,5,,"As an admin, I want to suspend or delete users who repeatedly violate rules so that the platform remains safe and trustworthy.",
US-LIST-5: Auto-Expire Listings,,,Abhishek Shravan Jha,,,,,,3,,"As a seller, I want my listing to automatically expire after a set duration so that outdated posts don’t stay visible.",
US-AUTH-2: Campus Email Verification,Manoj,,Abhishek Shravan Jha,,,Must,Sprint 5,Done,3,,"As a student, I want to verify my account using my official campus email ID so that only legitimate users can access the marketplace.",
US-DOCS-1: Project Documentation,,,Abhishek Shravan Jha,,,,,,5,,"As a developer, I want to create detailed technical and user documentation so that developers and users can understand and contribute to the project easily.
",
US-HELP-1: Help & Support Section,Andrew,,Abhishek Shravan Jha,,,Must,Sprint 5,Done,1,,"As a user, I want to read FAQs or contact support in case I face issues.",Week 9
US-ADMIN-0: Admin Dashboard,Manoj,"API, DB, Frontend, UI",Manoj Konda,"October 30, 2025","Admin, Moderation",Must,Sprint 4,Done,5,,"As an admin, I should be able to view all the reports in a separate page/dashboard. Individual report per listing is a plus.",Week 8
US-PROFILE-3,Abhishek,"API, DB, Frontend",Karan,"November 7, 2025",Profile,Must,Sprint 5,Done,2,,"As a buyer, I want to click on a seller’s profile and view all their active listings so that I can explore other items they’re selling.",Week 9
US-UI-1,Andrew,Frontend,Karan,"November 7, 2025",Infra,Must,Sprint 5,Done,3,,"As a user, I want a landing page for the Campus Marketplace so that I can easily understand the platform’s purpose and navigate to login or signup.",Week 9
US-PROFILE-4,Karan,"API, Frontend",Karan,"November 7, 2025",Profile,Must,Sprint 5,Done,3,,"As a user, I want to upload and display my profile picture in the “My Profile” section so that other users can recognize me easily.",Week 9
US-ADMIN-10,,"API, DB, Frontend",Karan,"November 7, 2025",Admin,Won't,,,,,"As an admin, I want to view analytics showing total transactions and listings so that I can monitor platform activity.",Week 9
US-AUTH-5,Manoj,API,Karan,"November 7, 2025",Auth,Must,Sprint 5,Done,5,,"As a developer, I want to design standard email templates for  password reset so that all authentication emails follow a consistent format.",Week 9
US-AUTH-6,Manoj,"API, DB, Frontend",Karan,"November 7, 2025",Auth,Must,Sprint 5,Done,1,,"As a user, I should receive the email in a standard template.",Week 9
US-CHAT-3,Manoj,"API, UI",Manoj Konda,"November 8, 2025","Chat, Listings",Must,Sprint 5,Done,2,,"UI Fixes like show unread messages, display the listing as a small card when the buyer initiates the conversation too and try to display the unread messages somwhere?",Week 9
US-SEARCH-3,Andrew,"API, Frontend",Karan,"November 9, 2025",,Must,Sprint 5,Done,1,,The user should not be able to see his own listing.,Week 9
US-LIST-4,Karan,Frontend,Karan,"November 9, 2025",Listings,,Sprint 5,Done,2,,"In the view listing page, the image should be auto scaled automatically based on the input image given and it should also give an enlarged image view for the user when the user clicks on the image in the view listing page.",Week 9
US-DEPLOY-1: Deploy Backend API to AWS EC2,Andrew,"API, Deployment, Infra",Manoj Konda,"November 22, 2025",Deployment,Must,Sprint 6,Done,5,,"As a developer, I want our backend API deployed on an EC2 instance so that end users can access the marketplace features outside localhost.",Week 11
US-DEPLOY-2: Configure Load Balancer + Auto Scaling Group,Manoj,"Deployment, Infra",Manoj Konda,"November 22, 2025",Deployment,Must,Sprint 6,Done,8,,"As a deployment engineer, I want an AWS Application Load Balancer and Auto Scaling Group so that the API can scale automatically and handle real-world load.",Week 11
US-DEPLOY-4: Point UI to Deployed Endpoints,Abhishek,"Frontend, UI",Manoj Konda,"November 22, 2025",Deployment,Must,Sprint 6,Done,3,,"As a web developer, I want the frontend calling the deployed API URLs so that demo users interact with the live system instead of local servers.",Week 11
US-DEPLOY-5: Environment Variables + Secrets Handling,Karan,"API, Infra, Security",Manoj Konda,"November 22, 2025",Deployment,Must,Sprint 6,Done,3,,"As a developer, I want to securely manage API keys, DB credentials, and environment variables so deployments are secure and configuration can change across environments.",Week 11
US-API-VALIDATION-1: Standardize Error Handling,,"API, Backend",Manoj Konda,"November 22, 2025","API Reliability, Quality",Must,Sprint 6,,3,,"As a backend engineer, I want consistent API error handling so that all endpoints return predictable, structured JSON errors (validation errors, auth errors, server errors), improving reliability and debugging.",Week 11
US-FRONTEND-VALIDATION-2: Client-side Input Guards,,"Frontend, UI",Manoj Konda,"November 22, 2025","Quality, UX",Must,Sprint 6,,2,,"As a user, I want the UI to validate inputs (required fields, formats, min/max lengths, price validation, image requirements) so that incorrect or incomplete data never reaches the backend.",Week 11
US-FRONTEND-QUALITY-1: Global Error & Success Notification Banners,Manoj,"Frontend, UI",Manoj Konda,"November 22, 2025","Quality, UX",Must,Sprint 6,Done,3,,"As a user, I want friendly and consistent notification banners for success, errors, and warnings so I always know what’s happening during interactions such as posting, editing, chatting, and logging in.",Week 12
US-CHAT-QUALITY-1: Chat Input Sanitization & Safety,Manoj,"API, Chat",Manoj Konda,"November 22, 2025","Quality, Security",Must,Sprint 6,Done,3,,"As a developer, I want to sanitize chat messages for unsafe characters, scripts, or malicious payloads so that chat remains secure and cannot be exploited via injection attacks.",Week 12
US-SEARCH-QUALITY-1: Search Input Sanitization & Query Limits,Abhishek,"API, Search",Manoj Konda,"November 22, 2025","Quality, Search",Must,Sprint 6,Done,2,,"As a backend engineer, I want to sanitize and limit search queries so that the search endpoint avoids heavy queries, malicious patterns, or extremely long text that could affect performance.",Week 12
"US-LISTING-QUALITY-1: Price, Title & Description Validation
",Karan,"API, UI",Manoj Konda,"November 22, 2025","Listings, Quality",Must,Sprint 6,Done,2,,"As a seller, I want the listing form to enforce required fields, minimum lengths, max lengths, and valid price ranges so that listings maintain quality and prevent junk/incomplete posts.",Week 12
US-DIAGRAMS-1: Create Component & Deployment Diagrams,Andrew,"Architecture, Design, Documentation",Manoj Konda,"November 22, 2025",Project Artifacts,Must,Sprint 6,Done,5,,"As a team, we need to create the Component Diagram and Deployment Diagram for the Campus Marketplace so our architecture is clearly documented and ready for submission in the README and Demo Day presentation.",Week 12
"US-XP-VALUES-1: Write XP Core Values ",Andrew,"Documentation, Scrum",Manoj Konda,"November 22, 2025","Project Artifacts, XP Values",Must,Sprint 6,Done,2,,"As a team member, I need to summarize how our team followed two XP Core Values (Communication, Simplicity, Feedback, Courage, Respect) so we can submit the required write-up in the readme on GitHub.",Week 12
UI Wireframes,Karan,UI,Karan,"November 17, 2025",,,Sprint 6,Done,2,,Create UI Wireframes,Week 12